asin,predicted_tags
B0BT1YGLC6,"['cardgame', 'party', 'strategic']"
B0CD9NSPMS,"['board', 'cardgame', 'rpg']"
B0CCSRRQRC,"['cardgame', 'kid-friendly', 'strategic']"
B0CS3YWV2K,"['board', 'cardgame', 'strategic']"
B0CKX7RC7N,"['board', 'cardgame', 'party']"
B0CNGG458P,"['board', 'cardgame', 'strategic']"
B0DB7T2FM6,"['cardgame', 'kid-friendly', 'strategic']"
B0BFP4VZCP,"['cardgame', 'party', 'strategic']"
B0CNRGJD21,"['cardgame', 'miniatures', 'party']"
B0C399F165,"['cardgame', 'cute', 'strategic']"
B0CK82GRCL,"['cardgame', 'humor', 'party']"
B09Q5FJXXM,"['cardgame', 'creative', 'kid-friendly']"
B0D8G7D8KJ,"['cardgame', 'humor', 'party']"
B08F65MX4L,"['board', 'cardgame', 'kid-friendly']"
B014DMSTXK,"['board', 'cardgame', 'strategic']"
B014DMSTXK,"['board', 'cardgame', 'strategic']"
B01K9MNAOG,"['cardgame', 'expansion', 'strategic']"
B0DDTRQGJ4,"['board', 'cardgame', 'strategic']"
B0DK7Z3N3G,"['cardgame', 'kid-friendly', 'strategic']"
B07WP68TKJ,"['cardgame', 'party', 'rpg']"
B0CZZY2263,"['cardgame', 'humor', 'party']"
B0C364BBHF,"['cardgame', 'kid-friendly', 'strategic']"
B091NF93TX,"['board', 'cardgame', 'strategic']"
B093H8RGXX,"['cardgame', 'kid-friendly', 'strategic']"
B0D68DPZKZ,"['kid-friendly', 'party', 'strategic']"
B07JZFN8WS,"['cardgame', 'humor', 'party']"
B0B124J1JG,"['cardgame', 'kid-friendly', 'strategic']"
B08HWHWLKR,"['cardgame', 'miniatures', 'strategic']"
B08BTNHSDZ,"['cardgame', 'kid-friendly', 'strategic']"
B0CNBHHFWC,"['cardgame', 'horror', 'rpg']"
B07G3Y95R9,"['board', 'horror', 'rpg']"
B0DHFL53C9,"['board', 'cardgame', 'strategic']"
B01NBIJZAN,"['board', 'cardgame', 'rpg']"
B01NBIJZAN,"['board', 'cardgame', 'rpg']"
B0DS4ZLCRJ,"['cardgame', 'humor', 'party']"
B0D1BWT97Z,"['cardgame', 'humor', 'party']"
B0CRKV4QS6,"['cardgame', 'humor', 'party']"
B0BJ6ZS6RK,"['cardgame', 'humor', 'party']"
B0D1BNSQQ1,"['cardgame', 'humor', 'party']"
B0CS7G51Y1,"['board', 'miniatures', 'rpg']"
B0CS7B7BQ1,"['board', 'cardgame', 'rpg']"
B0D8LWTDHZ,"['board', 'cardgame', 'strategic']"
B07XKSQ7VX,"['cardgame', 'rpg', 'strategic']"
B0CGMQY8NK,"['board', 'cardgame', 'strategic']"
B07VCTYNJT,"['cardgame', 'party', 'strategic']"
B09SV9S8QH,"['board', 'cardgame', 'rpg']"
B06XGQ6L8C,"['cardgame', 'party', 'strategic']"
B07ZWX2PMH,"['cardgame', 'humor', 'party']"
B0CB3VVBLJ,"['board', 'cardgame', 'strategic']"
B0DT7J5N9F,"['cardgame', 'party', 'strategic']"
B0C3DNH1TJ,"['board', 'cardgame', 'kid-friendly']"
B0CRXJ2JYJ,"['cardgame', 'humor', 'party']"
B0D9HM75PP,"['cardgame', 'humor', 'party']"
B093HBBMPT,"['cardgame', 'humor', 'strategic']"
B075SCTTBM,"['cardgame', 'humor', 'party']"
B09S6W3LNN,"['cardgame', 'humor', 'party']"
B07MV4NN5Z,"['cardgame', 'kid-friendly', 'strategic']"
B091MGZ3QW,"['board', 'cardgame', 'kid-friendly']"
B07G2VHPRW,"['cardgame', 'kid-friendly', 'party']"
B0CWVTVLT7,"['board', 'cardgame', 'kid-friendly']"
B01N3A4070,"['cardgame', 'kid-friendly', 'tile-placement']"
B0BQNTFL5S,"['board', 'kid-friendly', 'strategic']"
B07YZD1GQH,"['cardgame', 'party', 'strategic']"
B077MZ2MPW,"['board', 'cute', 'strategic']"
B09W1KJJ3H,"['cardgame', 'humor', 'party']"
B01ALHAIWG,"['board', 'cardgame', 'strategic']"
B0CBSFPBK8,"['cardgame', 'party', 'strategic']"
B01N6PS4L0,"['board', 'dice', 'kid-friendly']"
B0CMBTF896,"['cardgame', 'kid-friendly', 'strategic']"
B0CDL1MGJL,"['cardgame', 'rpg', 'strategic']"
B0BWFM1NSB,"['cardgame', 'rpg', 'strategic']"
B0DWSR4Y9X,"['cardgame', 'kid-friendly', 'strategic']"
B07JN6XY6Z,"['board', 'cardgame', 'strategic']"
B084LLQ6DF,"['board', 'cardgame', 'rpg']"
B08HZD5XMM,"['cardgame', 'kid-friendly', 'strategic']"
B0DG3MFM3P,"['board', 'cardgame', 'strategic']"
B09C18N2G2,"['cardgame', 'combinatorial', 'kid-friendly']"
B0D5DMKTVC,"['board', 'cardgame', 'rpg']"
B0DB6C3QPV,"['board', 'cardgame', 'strategic']"
B0DSPRQYG7,"['cardgame', 'humor', 'party']"
B002SQBB3O,"['cardgame', 'humor', 'party']"
B09KWZMXLX,"['cute', 'kid-friendly', 'racing']"
B0BX12XH78,"['board', 'cardgame', 'strategic']"
B00MC5X94A,"['board', 'cardgame', 'kid-friendly']"
B00NX627HW,"['cardgame', 'strategic', 'tile-placement']"
B09YD5X8HT,"['cardgame', 'strategic', 'tile-placement']"
B0DFHCB9TG,"['cardgame', 'kid-friendly', 'strategic']"
B004S8F7QM,"['cardgame', 'party', 'strategic']"
B00003G4JR,"['cardgame', 'humor', 'party']"
B07PDNNLGR,"['board', 'cardgame', 'strategic']"
B09FN8GSVJ,"['cardgame', 'kid-friendly', 'strategic']"
B0B9CLB8CS,"['board', 'cardgame', 'strategic']"
B0B3LGW2KH,"['board', 'rpg', 'strategic']"
B00NP7E05G,"['board', 'cardgame', 'strategic']"
B00NP7E05G,"['board', 'cardgame', 'strategic']"
B0D3M4L9Y1,"['board', 'cardgame', 'strategic']"
B00U26V4VQ,"['board', 'strategic', 'tile-placement']"
B00U26V4VQ,"['board', 'strategic', 'tile-placement']"
B00U26V9CU,"['board', 'expansion', 'strategic']"
B007N0KZ64,"['board', 'expansion', 'strategic']"
B00U26V4S4,"['board', 'expansion', 'strategic']"
B00U26V5A6,"['cardgame', 'expansion', 'strategic']"
B0C9R3XWQX,"['cardgame', 'kid-friendly', 'strategic']"
B071DXCT5L,"['board', 'cardgame', 'strategic']"
B08F4CN92Z,"['board', 'cardgame', 'strategic']"
B088QSDB7S,"['board', 'cardgame', 'strategic']"
B014Q1XX9S,"['cardgame', 'humor', 'party']"
B0D763WZS4,"['cardgame', 'kid-friendly', 'strategic']"
B0BC39XXTC,"['board', 'cardgame', 'strategic']"
1568824637,"['board', 'cardgame', 'strategic']"
B09DQ3RTJ7,"['cardgame', 'humor', 'party']"
B08WRN3124,"['cardgame', 'party', 'strategic']"
B0BZJMGWZV,"['cardgame', 'sci-fi', 'strategic']"
B0CMJX7ZQZ,"['cardgame', 'sci-fi', 'strategic']"
B0CMJWS46D,"['cardgame', 'party', 'strategic']"
B07CN6XBKJ,"['cardgame', 'kid-friendly', 'strategic']"
B007MHIYFM,"['cardgame', 'kid-friendly', 'strategic']"
B0C3KF8HK8,"['board', 'cardgame', 'kid-friendly']"
B0CBL6GSL7,"['cardgame', 'kid-friendly', 'strategic']"
B0BZL5LZ57,"['cardgame', 'party', 'strategic']"
B09CDSJMP5,"['cardgame', 'party', 'strategic']"
