asin,title,price,rating,sales_volume,reviews_count,description
1733376607,"Dungeon Craft Board Game: Volume 1 Loose Leaf Inside a Custom Box, Water Resistant, Dry Erase by 1985 Games",48.89,4.7,50+ bought in past month,676,
B07KWHQ7VZ,"GEEKON Protective Padded Dice Case & Integrated Felt Dice Tray for Board Games, Tabletop Games and RPGs - Holds & Protects Over 75 Dice! Perfect for Game Night! (Red)",,,,,
B0CBSHXBQG,Party Pack Expansion: Add Two More Players to Your RPG Dungeon Exploration Drinking Games Night | New 1st Edition | A Party Games Board Games for Adults with DND Dice and Drinks!,0.0,4.6,100+ bought in past month,63,Heroes of Barcadia - The First Ever Liquid-Life Battle Damage System Strategy Adventure and Drink Consumption Board Games for Adults!
B0DB2NJ6CL,"Survive The Island Board Game (2024 Edition) - Thrilling Escape Adventure with New Monsters! Fun Strategy Game for Kids & Adults, Ages 8+, 2-5 Players, 45 Minute Playtime, Made by Zygomatic",29.99,4.6,300+ bought in past month,112,"In this thrilling game, players try to escape a sinking island with the most possible treasures… But beware of lurking monsters… And other players! This version of Survive The Island comes with a brand-new monster, a fifth player and a refreshed packaging."
B08DG593LQ,Stratagem 49 Hand-Illustrated Colorful Fantasy Tabletop Role Playing Game| DND 5e|The Deck of Many Things & The Deck of Many Fates,,,,,
B0BF57RNPC,"Space Cowboys Splendor Duel Board Game - Two-Player Strategy Game for Intense Gem Collecting Battles - Fun Family Game for Kids and Adults, Ages 10+, 2 Players, 30 Minute Playtime, Made",27.99,4.8,400+ bought in past month,585,"The award-winning game Splendor returns with this fresh take on its classic drafting gameplay. Featuring the clever engine building that Splendor is known for, Splendor Duel offers a compact, tight two-player experience that will be instantly recognizable to fans of the original game, while also adding new decisions and mechanisms that offer deeper strategic options.The new common board has players drafting Gem, Gold and rare Pearl tokens from a 5x5 grid. Only allowed to draft up to 3 tokens in a consecutive line, taking tokens will create gaps in the board and will limit how many and what kind of token players will be able to take in future turns.Co-designed by Marc André (Splendor) and Bruno Catala (7 Wonders Duel, Kingdomino), Splendor Duel is an exciting new entry in the Splendor product line."
B0BWS9R9TZ,"Inside Up Games Earth - The Board Game by Inside Up Games & Maxime Tardif,Ecosystem Building,Card Drafting & Action Selecting,for 1 to 5 Players,Play Solo-Multiplayer-Teams,45-90 Minute Playing Time",49.65,4.8,100+ bought in past month,367,"Over millions of years of evolution and adaptation, the flora and fauna of this unique planet have grown and developed into amazing life-forms, creating beautiful symbiotic ecosystems and diverse habitats. It's time to create your island: a 4x4 tableau of self-supporting growth, expansion and supply where even the cards you don't need become compost for future gain. OVERVIEW: Earth is an open-world engine builder for 1 to 5 players with simple rules and countless strategic possibilities. With its encyclopedic nature and a near-infinite number of tableau combinations, every single game will allow you to discover new synergies and connections, just as our vast and fascinating world allows us to do! Players will create a self-supporting engine of growth, expansion, and supply by drafting from a deck of over 364 unique cards and strategically placing them in their tableau. STARTING THE GAME - The game begins before the starting hand has even been drafted. Players will receive an Island, Climate, and Ecosystem card during set-up. Using these double-sided cards, each player sows their strategy by selecting one side of the card to place face-up in their play area. The combination of these three cards introduces asymmetry to the game by providing variable starting resources, bonus abilities, and unique end-game scoring objectives. ON YOUR TURN - On their turn, the active player will choose one of four different actions, reaping their major benefits, while all other players welcome the minor benefit. Subsequently, all players activate any cards on their player-board, and in their tableau, which match the color of the chosen action. Players continue taking actions, arranging their Island, sowing Plants and developing Terrains to attract elusive Fauna, and unlock the scoring bonuses of diverse Ecosystems. TRIGGERING END GAME - Once a player has added a sixteenth card to their 4×4 tableau, they earn a completion bonus and trigger the end of the game. All players will tally the victory points they earned from completing Ecosystems, reaching Fauna objectives, Composting cards, gaining Plant cubes and Growth pieces, for their Plant and Terrain values and for Events played. The player with the most victory points wins! Game Playtime (min): 45. Number of Players: 5."
B0BHTKGN7F,The Elder Scrolls V: Skyrim – The Adventure Game 5-8 Player Expansion | Strategy Board Game for Adults | Ages 14+ | 1-8 Players | Avg. Playtime 60-120 Minutes | Made by Modiphius Entertainment,,,,,Increase your party size in Free Roam! Bring up to 8 people to the table with this add-on for Skyrim: The Adventure Game.
B01NBIJZAN,"Asmadi Games One Deck Dungeon, For 168 months to 9600 months",26.92,4.6,200+ bought in past month,1953,"Adventure calls.but you don't have four hours or the desire to set up hundreds of pieces. One Deck Dungeon lets you jump right in, bash down doors, roll dice, and squash baddies with style. By using cards in four different ways (as an encounter, XP, a skill/potion, or a stat-boosting item), all the experience of dungeon delving has been fit into a compact package. You can venture in alone, or bring a friend. The Dragon doesn't care, he's happy to eat both of you! and don't even think about trying to spare him, that's the wrong game entirely. One Deck Dungeon is a tabletop version of the popular video game phenomenon of rogue-likes -- dungeon delves where you try and survive as long as you can against increasingly nasty monsters. The game is very easy to learn, featuring intuitive dice mechanics and thematic skills and abilities."
1912743930,"Modiphius Entertainment Ltd Star Trek Adventures: Player's Guide - Expansion to RPG Star Trek Adventures Core Rulebook, Hardcover",,,,,"SPACE, THE FINAL FRONTIER. The Player's Guide for the Star Trek Adventures roleplaying game presents a wealth of information and advice for gamers new to Star Trek and to Star Trek Adventures, as well as for experienced players looking for additional guidance and new options to enhance their characters and games. The Star Trek universe is ready to be explored. What character will you play? This full color, 264 page digest is packed full of player-focused options, advice, tables, and artwork, all designed to enhance your Star Trek Adventures game. This guide requires a Star Trek Adventures core rulebook to use. A wealth of new character options, including new non-Starfleet character roles, more than 40 new talents, additional details on existing character roles and insights into using the game mechanics gleaned from 4 years of feedback and development. An overview of key Star Trek setting details and technology to help immerse you and your fellow players into the setting. Definitions of six key Star Trek eras, enabling you to take part in stories anywhere in the Star Trek timeline; and nine distinct play styles, from deep space exploration to close to home, and beyond. Guidance on how to be an engaged, active, and supportive player, and insights on building characters collaboratively with your group. All contents are adaptable for use with groups of pioneering Starfleet officers, fearless Klingon warriors, or daring crews of any polity. Made in Lithuania."
